driver_id,tag,age,salary,education,marital_status,years_experience,num_prev_employers,trip_duration,distance_traveled,risk_zone,high_prob_leave,message,salario_por_km,experiencia_normalizada,salario_por_duracion,is_solo_provider,zona_alta_y_sueldo_bajo
3571958,operaciones,48,7390,primaria,soltero,10,4,30,16.445845403801215,baja,0,"Hola, me gustaría que revisaran mi salario, ya que con 10 años de experiencia y el costo de vida actual, 7390 pesos al mes no es suficiente.",449.3262883283389,0.20833333333333334,246.3251224959168,0,0
3880410,recursos humanos,30,5444,secundaria,casado,3,2,159,6.584746323682925,alta,0,"Con un salario de 5444 pesos y viajes de casi 3 horas para solo 6.6 km, es frustrante que no se valore más nuestro tiempo y esfuerzo.",826.6337226538616,0.1,34.23877837246307,0,0
3777069,operaciones,57,4433,primaria,soltero,20,0,67,52.950886731591545,baja,0,"Me siento frustrado porque después de 20 años de experiencia, mi salario de 4433 pesos no refleja el esfuerzo y tiempo que dedico a cada viaje.",83.71750797984758,0.3508771929824561,66.16319159415531,0,0
3842752,recursos humanos,46,3082,primaria,soltero,9,3,24,46.15092843748656,alta,1,"Me siento frustrado porque con 9 años de experiencia y trabajando en una zona alta, mi salario de 3082 pesos no refleja mi esfuerzo y dedicación.",66.77944138725671,0.1956521739130435,128.41131619515852,0,1
3831490,finanzas,22,5556,secundaria,soltero,2,4,82,7.440107705542672,baja,0,"Con el salario de 5556 pesos al mes, apenas puedo cubrir mis gastos básicos, espero que consideren un aumento.",746.6630265090091,0.09090909090909091,67.75527127717955,0,0
3689931,finanzas,33,2241,postgrado,casado,9,0,99,10.669539286632004,media,0,"Hola, con 9 años de experiencia y un postgrado, mi salario de 2241 pesos no refleja mi dedicación; ¿podrían revisarlo?",210.01750144039235,0.2727272727272727,22.636134988535467,1,0
3832318,operaciones,26,4556,universidad,soltero,7,2,90,26.619218178401677,alta,0,"No es justo que con 7 años de experiencia y una carga de trabajo en zona alta, mi salario mensual siga siendo de solo 4556 pesos.",171.14810890981022,0.2692307692307692,50.621659759336005,0,0
3731601,operaciones,25,4613,postgrado,divorciado,1,3,63,4.1000159531003,media,0,"Con el salario que tengo, no se justifica un postgrado para manejar solo 4.1 km en más de una hora.",1124.843222448976,0.04,73.22105998317487,0,0
3652283,finanzas,53,6297,secundaria,divorciado,13,3,49,84.60885101913699,alta,0,"Con 13 años de experiencia y trabajando en zonas altas, mi salario de 6297 pesos no refleja el esfuerzo y riesgo que asumo diariamente.",74.42395801613867,0.24528301886792453,128.50758147792902,0,0
3532798,finanzas,43,5993,postgrado,soltero,24,3,133,28.32391902023179,media,0,"Con 24 años de experiencia y un postgrado, mi salario de 5993 pesos no refleja mi dedicación y esfuerzo diario.",211.5804813323331,0.5581395348837209,45.059811580364055,0,0
3904444,recursos humanos,20,4568,universidad,soltero,1,0,145,1.5466895952366375,baja,0,"Es frustrante que, a pesar de mi esfuerzo y largas horas de trabajo, mi salario de 4568 pesos no refleja el tiempo y dedicación invertidos en cada viaje.",2951.496226413259,0.05,31.503231012199915,0,0
